AACHEN, Hans von;(b. 1552, Kln, d. 1615, Praha);Bacchus, Ceres and Cupid;-;70073984736559360;Oil on canvas, 163 x 113 cm;Kunsthistorisches Museum, Vienna;http://www.wga.hu/art/a/aachen/bacchus.jpg;painting;mythological
AACHEN, Hans von;(b. 1552, Kln, d. 1615, Praha);Joking Couple;-;17361938354818777088;Copperplate, 25 x 20 cm;Kunsthistorisches Museum, Vienna;http://www.wga.hu/art/a/aachen/j_couple.jpg;painting;genre
